instance=instances/exact_n100.txt method=std+best
Solution from CH:
t=0.01 Solution: cost=[-817.44], size=[7], elements=[82, 34, 85, 95, 78, 32, 42]
Solutions from TS:
it=1 t=0.04 cost=-1000.23 size=8
it=2 t=0.07 cost=-1197.32 size=9
it=3 t=0.07 cost=-1428.22 size=10
it=4 t=0.08 cost=-1652.27 size=11
it=5 t=0.09 cost=-1909.73 size=12
it=6 t=0.09 cost=-2164.42 size=13
it=7 t=0.10 cost=-2446.07 size=14
it=8 t=0.11 cost=-2730.39 size=15
it=9 t=0.12 cost=-3021.87 size=16
it=10 t=0.15 cost=-3351.04 size=17
it=11 t=0.16 cost=-3663.55 size=18
it=12 t=0.21 cost=-4009.71 size=19
it=13 t=0.25 cost=-4378.89 size=20
it=14 t=0.28 cost=-4705.11 size=21
it=15 t=0.31 cost=-5042.65 size=22
it=16 t=0.34 cost=-5389.26 size=23
it=17 t=0.41 cost=-5764.42 size=24
it=18 t=0.45 cost=-6130.28 size=25
it=19 t=0.47 cost=-6534.57 size=26
it=20 t=0.51 cost=-6972.54 size=27
it=21 t=0.56 cost=-7372.49 size=28
it=22 t=0.64 cost=-7788.73 size=29
it=23 t=0.70 cost=-8215.67 size=30
it=24 t=0.75 cost=-8649.94 size=31
it=25 t=0.80 cost=-9115.63 size=32
it=26 t=0.87 cost=-9576.98 size=33
it=27 t=0.92 cost=-10014.47 size=34
it=28 t=0.99 cost=-10487.25 size=35
it=29 t=1.05 cost=-11003.35 size=36
it=30 t=1.11 cost=-11521.23 size=37
it=31 t=1.19 cost=-12040.40 size=38
it=32 t=1.27 cost=-12557.94 size=39
it=33 t=1.36 cost=-13067.02 size=40
it=34 t=1.43 cost=-13611.65 size=41
it=35 t=1.53 cost=-14189.91 size=42
it=36 t=1.62 cost=-14755.93 size=43
it=37 t=1.69 cost=-15309.38 size=44
it=38 t=1.77 cost=-15853.71 size=45
it=39 t=1.86 cost=-16392.54 size=46
it=40 t=1.96 cost=-16946.18 size=47
it=41 t=2.08 cost=-17507.08 size=48
it=42 t=2.18 cost=-18086.40 size=49
it=43 t=2.29 cost=-18695.16 size=50
it=44 t=2.41 cost=-19292.24 size=51
it=45 t=2.52 cost=-19914.07 size=52
it=46 t=2.63 cost=-20517.34 size=53
it=47 t=2.76 cost=-21137.91 size=54
it=48 t=2.88 cost=-21741.87 size=55
it=49 t=3.00 cost=-22374.14 size=56
it=50 t=3.15 cost=-23032.01 size=57
it=51 t=3.31 cost=-23670.02 size=58
it=52 t=3.47 cost=-24329.50 size=59
it=53 t=3.58 cost=-25032.13 size=60
it=54 t=3.71 cost=-25719.27 size=61
it=55 t=3.86 cost=-26386.08 size=62
it=56 t=3.98 cost=-27077.04 size=63
it=57 t=4.12 cost=-27769.86 size=64
it=58 t=4.27 cost=-28483.80 size=65
it=59 t=4.39 cost=-29204.15 size=66
it=60 t=4.54 cost=-29918.08 size=67
it=61 t=4.66 cost=-30672.89 size=68
it=62 t=4.81 cost=-31385.50 size=69
it=63 t=4.98 cost=-32117.78 size=70
it=64 t=5.11 cost=-32807.86 size=71
it=65 t=5.25 cost=-33535.38 size=72
it=66 t=5.38 cost=-34269.61 size=73
it=67 t=5.51 cost=-34988.37 size=74
it=68 t=5.64 cost=-35741.82 size=75
it=69 t=5.76 cost=-36514.07 size=76
it=70 t=5.88 cost=-37263.25 size=77
it=71 t=6.00 cost=-38014.36 size=78
it=72 t=6.13 cost=-38779.11 size=79
it=73 t=6.25 cost=-39520.35 size=80
it=74 t=6.37 cost=-40300.78 size=81
it=75 t=6.50 cost=-41084.53 size=82
it=76 t=6.64 cost=-41869.37 size=83
it=77 t=6.74 cost=-42614.12 size=84
it=78 t=6.86 cost=-43379.68 size=85
it=79 t=6.96 cost=-44142.53 size=86
it=80 t=7.04 cost=-44921.73 size=87
it=81 t=7.14 cost=-45746.22 size=88
it=82 t=7.23 cost=-46550.31 size=89
it=83 t=7.31 cost=-47387.41 size=90
it=84 t=7.39 cost=-48174.63 size=91
it=85 t=7.47 cost=-48957.65 size=92
it=86 t=7.55 cost=-49722.70 size=93
it=87 t=7.64 cost=-50368.67 size=94
it=88 t=7.69 cost=-50997.22 size=95
it=89 t=7.74 cost=-51673.11 size=96
it=90 t=7.79 cost=-52338.49 size=97
it=91 t=7.82 cost=-52967.64 size=98
it=92 t=7.84 cost=-53587.41 size=99
it=93 t=7.86 cost=-54155.36 size=100
