instance=instances/exp_n100.txt method=std+best
Solution from CH:
t=0.02 Solution: cost=[-5146.920000000001], size=[24], elements=[77, 82, 66, 92, 67, 46, 47, 28, 48, 13, 4, 90, 63, 38, 27, 60, 44, 69, 40, 56, 54, 39, 62, 6]
Solutions from TS:
it=1 t=0.09 cost=-5649.14 size=25
it=2 t=0.14 cost=-6076.41 size=26
it=3 t=0.16 cost=-6522.86 size=27
it=4 t=0.17 cost=-6988.19 size=28
it=5 t=0.19 cost=-7437.19 size=29
it=6 t=0.22 cost=-7903.29 size=30
it=7 t=0.23 cost=-8369.54 size=31
it=8 t=0.25 cost=-8820.70 size=32
it=9 t=0.28 cost=-9280.23 size=33
it=10 t=0.30 cost=-9757.25 size=34
it=11 t=0.33 cost=-10239.43 size=35
it=12 t=0.37 cost=-10731.20 size=36
it=13 t=0.40 cost=-11200.98 size=37
it=14 t=0.43 cost=-11647.64 size=38
it=15 t=0.45 cost=-12119.14 size=39
it=16 t=0.48 cost=-12548.08 size=40
it=17 t=0.50 cost=-12992.02 size=41
it=18 t=0.53 cost=-13418.88 size=42
it=19 t=0.55 cost=-13886.12 size=43
it=20 t=0.58 cost=-14368.49 size=44
it=21 t=0.61 cost=-14851.13 size=45
it=22 t=0.64 cost=-15340.90 size=46
it=23 t=0.68 cost=-15854.27 size=47
it=24 t=0.71 cost=-16356.40 size=48
it=25 t=0.76 cost=-16891.73 size=49
it=26 t=0.80 cost=-17444.67 size=50
it=27 t=0.83 cost=-17971.85 size=51
it=28 t=0.87 cost=-18519.81 size=52
it=29 t=0.90 cost=-19059.48 size=53
it=30 t=0.94 cost=-19639.82 size=54
it=31 t=0.98 cost=-20179.71 size=55
it=32 t=1.02 cost=-20734.96 size=56
it=33 t=1.05 cost=-21334.40 size=57
it=34 t=1.10 cost=-21924.77 size=58
it=35 t=1.15 cost=-22521.58 size=59
it=36 t=1.19 cost=-23102.87 size=60
it=37 t=1.22 cost=-23709.21 size=61
it=38 t=1.27 cost=-24321.84 size=62
it=39 t=1.31 cost=-24962.92 size=63
it=40 t=1.35 cost=-25570.45 size=64
it=41 t=1.39 cost=-26196.13 size=65
it=42 t=1.44 cost=-26843.70 size=66
it=43 t=1.48 cost=-27482.42 size=67
it=44 t=1.52 cost=-28131.17 size=68
it=45 t=1.56 cost=-28767.48 size=69
it=46 t=1.60 cost=-29397.98 size=70
it=47 t=1.64 cost=-30048.62 size=71
it=48 t=1.69 cost=-30711.20 size=72
it=49 t=1.73 cost=-31400.72 size=73
it=50 t=1.77 cost=-32101.55 size=74
it=51 t=1.83 cost=-32812.43 size=75
it=52 t=1.93 cost=-33523.05 size=76
it=53 t=1.96 cost=-34205.15 size=77
it=54 t=2.02 cost=-34896.55 size=78
it=55 t=2.08 cost=-35609.07 size=79
it=56 t=2.13 cost=-36321.82 size=80
it=57 t=2.18 cost=-37042.82 size=81
it=58 t=2.21 cost=-37778.18 size=82
it=59 t=2.29 cost=-38517.50 size=83
it=60 t=2.34 cost=-39268.94 size=84
it=61 t=2.37 cost=-40037.49 size=85
it=62 t=2.41 cost=-40746.02 size=86
it=63 t=2.44 cost=-41445.31 size=87
it=64 t=2.47 cost=-42147.77 size=88
it=65 t=2.51 cost=-42855.83 size=89
it=66 t=2.54 cost=-43501.63 size=90
it=67 t=2.57 cost=-44163.36 size=91
it=68 t=2.60 cost=-44869.68 size=92
it=69 t=2.63 cost=-45537.47 size=93
it=70 t=2.64 cost=-46200.79 size=94
it=71 t=2.66 cost=-46829.18 size=95
it=72 t=2.69 cost=-47467.46 size=96
it=73 t=2.71 cost=-48059.47 size=97
it=74 t=2.72 cost=-48629.32 size=98
it=75 t=2.73 cost=-49209.44 size=99
it=76 t=2.73 cost=-49715.02 size=100
