instance=instances/normal_n100.txt method=std+best
Solution from CH:
t=0.01 Solution: cost=[-924.5799999999999], size=[7], elements=[21, 7, 43, 13, 15, 29, 41]
Solutions from TS:
it=1 t=0.03 cost=-1138.19 size=8
it=2 t=0.05 cost=-1360.96 size=9
it=3 t=0.06 cost=-1585.85 size=10
it=4 t=0.06 cost=-1838.91 size=11
it=5 t=0.07 cost=-2103.95 size=12
it=6 t=0.08 cost=-2362.46 size=13
it=7 t=0.08 cost=-2620.90 size=14
it=8 t=0.09 cost=-2907.47 size=15
it=9 t=0.09 cost=-3193.02 size=16
it=10 t=0.10 cost=-3465.11 size=17
it=11 t=0.11 cost=-3747.38 size=18
it=12 t=0.13 cost=-4059.88 size=19
it=13 t=0.14 cost=-4405.35 size=20
it=14 t=0.15 cost=-4736.54 size=21
it=15 t=0.16 cost=-5092.18 size=22
it=16 t=0.17 cost=-5470.16 size=23
it=17 t=0.18 cost=-5878.72 size=24
it=18 t=0.19 cost=-6282.38 size=25
it=19 t=0.20 cost=-6680.24 size=26
it=20 t=0.21 cost=-7100.08 size=27
it=21 t=0.23 cost=-7519.17 size=28
it=22 t=0.24 cost=-7951.74 size=29
it=23 t=0.26 cost=-8384.43 size=30
it=24 t=0.28 cost=-8818.16 size=31
it=25 t=0.29 cost=-9273.08 size=32
it=26 t=0.31 cost=-9770.82 size=33
it=27 t=0.33 cost=-10246.19 size=34
it=28 t=0.34 cost=-10727.38 size=35
it=29 t=0.36 cost=-11186.97 size=36
it=30 t=0.38 cost=-11639.26 size=37
it=31 t=0.39 cost=-12120.95 size=38
it=32 t=0.41 cost=-12623.33 size=39
it=33 t=0.43 cost=-13146.57 size=40
it=34 t=0.45 cost=-13643.67 size=41
it=35 t=0.48 cost=-14161.80 size=42
it=36 t=0.50 cost=-14682.41 size=43
it=37 t=0.52 cost=-15182.56 size=44
it=38 t=0.54 cost=-15711.58 size=45
it=39 t=0.56 cost=-16260.34 size=46
it=40 t=0.59 cost=-16817.09 size=47
it=41 t=0.61 cost=-17378.86 size=48
it=42 t=0.64 cost=-17937.06 size=49
it=43 t=0.67 cost=-18531.68 size=50
it=44 t=0.69 cost=-19141.67 size=51
it=45 t=0.71 cost=-19727.33 size=52
it=46 t=0.74 cost=-20318.71 size=53
it=47 t=0.77 cost=-20931.14 size=54
it=48 t=0.80 cost=-21520.23 size=55
it=49 t=0.83 cost=-22073.47 size=56
it=50 t=0.85 cost=-22661.92 size=57
it=51 t=0.89 cost=-23257.06 size=58
it=52 t=0.92 cost=-23876.70 size=59
it=53 t=0.95 cost=-24519.95 size=60
it=54 t=0.99 cost=-25129.00 size=61
it=55 t=1.01 cost=-25730.17 size=62
it=56 t=1.04 cost=-26354.95 size=63
it=57 t=1.07 cost=-26993.18 size=64
it=58 t=1.11 cost=-27622.84 size=65
it=59 t=1.14 cost=-28252.93 size=66
it=60 t=1.17 cost=-28887.27 size=67
it=61 t=1.20 cost=-29521.18 size=68
it=62 t=1.24 cost=-30153.29 size=69
it=63 t=1.28 cost=-30817.89 size=70
it=64 t=1.32 cost=-31475.27 size=71
it=65 t=1.35 cost=-32139.52 size=72
it=66 t=1.38 cost=-32787.57 size=73
it=67 t=1.41 cost=-33406.61 size=74
it=68 t=1.44 cost=-34025.88 size=75
it=69 t=1.47 cost=-34635.56 size=76
it=70 t=1.51 cost=-35253.38 size=77
it=71 t=1.54 cost=-35911.50 size=78
it=72 t=1.57 cost=-36568.08 size=79
it=73 t=1.60 cost=-37230.00 size=80
it=74 t=1.63 cost=-37887.47 size=81
it=75 t=1.66 cost=-38582.83 size=82
it=76 t=1.68 cost=-39271.14 size=83
it=77 t=1.71 cost=-39925.40 size=84
it=78 t=1.74 cost=-40573.70 size=85
it=79 t=1.76 cost=-41212.92 size=86
it=80 t=1.78 cost=-41847.99 size=87
it=81 t=1.81 cost=-42474.48 size=88
it=82 t=1.82 cost=-43116.59 size=89
it=83 t=1.84 cost=-43720.67 size=90
it=84 t=1.86 cost=-44298.13 size=91
it=85 t=1.87 cost=-44915.25 size=92
it=86 t=1.89 cost=-45532.96 size=93
it=87 t=1.90 cost=-46080.39 size=94
it=88 t=1.92 cost=-46603.72 size=95
it=89 t=1.93 cost=-47121.79 size=96
it=90 t=1.94 cost=-47613.15 size=97
it=91 t=1.95 cost=-48080.51 size=98
it=92 t=1.95 cost=-48515.04 size=99
it=93 t=1.96 cost=-48902.51 size=100
