instance=instances/normal_n100.txt method=std+div
Solution from CH:
t=0.01 Solution: cost=[-924.5799999999999], size=[7], elements=[21, 7, 43, 13, 15, 29, 41]
Solutions from TS:
it=1 t=0.02 cost=-945.27 size=8
it=2 t=0.03 cost=-1172.30 size=9
it=3 t=0.04 cost=-1307.78 size=10
it=4 t=0.04 cost=-1419.07 size=11
it=5 t=0.04 cost=-1502.65 size=12
it=6 t=0.04 cost=-1670.93 size=13
it=7 t=0.04 cost=-1839.16 size=14
it=8 t=0.04 cost=-2019.17 size=15
it=9 t=0.04 cost=-2281.70 size=16
it=10 t=0.04 cost=-2314.91 size=17
it=11 t=0.04 cost=-2345.44 size=18
it=12 t=0.06 cost=-2524.41 size=19
it=13 t=0.06 cost=-2837.26 size=20
it=14 t=0.06 cost=-3125.26 size=21
it=15 t=0.06 cost=-3691.89 size=22
it=16 t=0.06 cost=-3940.90 size=23
it=17 t=0.06 cost=-4047.59 size=24
it=18 t=0.06 cost=-4478.38 size=25
it=19 t=0.06 cost=-4505.28 size=26
it=20 t=0.06 cost=-4808.74 size=27
it=21 t=0.06 cost=-4997.52 size=28
it=22 t=0.06 cost=-5197.64 size=29
it=23 t=0.06 cost=-5566.54 size=30
it=24 t=0.06 cost=-5928.80 size=31
it=25 t=0.06 cost=-6311.12 size=32
it=26 t=0.06 cost=-6427.44 size=33
it=27 t=0.06 cost=-6461.50 size=34
it=28 t=0.06 cost=-6725.17 size=35
it=29 t=0.06 cost=-7280.95 size=36
it=30 t=0.06 cost=-7576.02 size=37
it=31 t=0.06 cost=-7614.32 size=38
it=32 t=0.06 cost=-8128.46 size=39
it=33 t=0.06 cost=-8601.59 size=40
it=34 t=0.06 cost=-9137.85 size=41
it=35 t=0.06 cost=-9880.76 size=42
it=36 t=0.07 cost=-10548.05 size=43
it=37 t=0.07 cost=-10838.19 size=44
it=38 t=0.07 cost=-11360.52 size=45
it=39 t=0.07 cost=-11902.80 size=46
it=40 t=0.07 cost=-12343.28 size=47
it=41 t=0.07 cost=-12699.14 size=48
it=42 t=0.07 cost=-12989.66 size=49
it=43 t=0.07 cost=-13330.16 size=50
it=44 t=0.07 cost=-13890.33 size=51
it=45 t=0.07 cost=-14555.20 size=52
it=46 t=0.07 cost=-15092.33 size=53
it=47 t=0.07 cost=-15627.60 size=54
it=48 t=0.07 cost=-16014.11 size=55
it=49 t=0.07 cost=-16302.86 size=56
it=50 t=0.07 cost=-17115.46 size=57
it=51 t=0.07 cost=-17745.93 size=58
it=52 t=0.07 cost=-18280.10 size=59
it=53 t=0.07 cost=-18611.35 size=60
it=54 t=0.07 cost=-19242.03 size=61
it=55 t=0.07 cost=-19645.35 size=62
it=56 t=0.07 cost=-20061.88 size=63
it=57 t=0.07 cost=-20671.84 size=64
it=58 t=0.07 cost=-21281.22 size=65
it=59 t=0.07 cost=-21789.20 size=66
it=60 t=0.07 cost=-22475.30 size=67
it=61 t=0.07 cost=-22997.19 size=68
it=62 t=0.07 cost=-23769.95 size=69
it=63 t=0.08 cost=-24175.09 size=70
it=64 t=0.08 cost=-24752.10 size=71
it=65 t=0.08 cost=-25254.70 size=72
it=66 t=0.08 cost=-25898.73 size=73
it=67 t=0.08 cost=-26788.40 size=74
it=68 t=0.08 cost=-27733.51 size=75
it=69 t=0.08 cost=-28481.92 size=76
it=70 t=0.08 cost=-29166.55 size=77
it=71 t=0.08 cost=-29806.62 size=78
it=72 t=0.08 cost=-30482.49 size=79
it=73 t=0.08 cost=-31222.57 size=80
it=74 t=0.08 cost=-31958.80 size=81
it=75 t=0.08 cost=-32726.20 size=82
it=76 t=0.08 cost=-33593.61 size=83
it=77 t=0.08 cost=-34450.31 size=84
it=78 t=0.08 cost=-35046.99 size=85
it=79 t=0.08 cost=-35852.49 size=86
it=80 t=0.08 cost=-36107.77 size=87
it=81 t=0.08 cost=-37053.37 size=88
it=82 t=0.08 cost=-37821.05 size=89
it=83 t=0.08 cost=-38855.51 size=90
it=84 t=0.08 cost=-39334.13 size=91
it=85 t=0.08 cost=-40304.50 size=92
it=86 t=0.08 cost=-41654.43 size=93
it=87 t=0.08 cost=-42497.34 size=94
it=88 t=0.08 cost=-43473.17 size=95
it=89 t=0.08 cost=-44268.02 size=96
it=90 t=0.08 cost=-45319.46 size=97
it=91 t=0.08 cost=-46200.78 size=98
it=92 t=0.09 cost=-47626.13 size=99
it=93 t=0.09 cost=-48902.51 size=100
50 iterations without improvement, diversifying...
150 iterations without improvement, diversifying...
500 iterations without improvement, diversifying...
