instance=instances/exact_n100.txt method=std+t2
Solution from CH:
t=0.01 Solution: cost=[-817.44], size=[7], elements=[82, 34, 85, 95, 78, 32, 42]
Solutions from TS:
it=1 t=0.03 cost=-849.40 size=8
it=2 t=0.05 cost=-980.59 size=9
it=3 t=0.05 cost=-998.02 size=10
it=4 t=0.05 cost=-1107.31 size=11
it=5 t=0.05 cost=-1296.82 size=12
it=6 t=0.05 cost=-1424.25 size=13
it=7 t=0.05 cost=-1431.01 size=14
it=8 t=0.05 cost=-1574.46 size=15
it=9 t=0.05 cost=-1701.33 size=16
it=10 t=0.05 cost=-1926.02 size=17
it=11 t=0.05 cost=-2149.99 size=18
it=12 t=0.05 cost=-2512.87 size=19
it=13 t=0.05 cost=-2757.78 size=20
it=14 t=0.05 cost=-3037.69 size=21
it=15 t=0.06 cost=-3061.46 size=22
it=16 t=0.06 cost=-3305.36 size=23
it=17 t=0.06 cost=-3600.36 size=24
it=18 t=0.06 cost=-3850.27 size=25
it=19 t=0.06 cost=-3964.17 size=26
it=20 t=0.06 cost=-4136.90 size=27
it=21 t=0.06 cost=-4459.10 size=28
it=22 t=0.06 cost=-4748.76 size=29
it=23 t=0.06 cost=-4979.47 size=30
it=24 t=0.06 cost=-4983.76 size=31
it=25 t=0.06 cost=-5288.92 size=32
it=26 t=0.06 cost=-5444.05 size=33
it=27 t=0.06 cost=-6064.27 size=34
it=28 t=0.06 cost=-6595.94 size=35
it=29 t=0.06 cost=-6783.70 size=36
it=30 t=0.07 cost=-6899.75 size=37
it=31 t=0.07 cost=-7329.58 size=38
it=32 t=0.07 cost=-7744.53 size=39
it=33 t=0.07 cost=-8318.66 size=40
it=34 t=0.07 cost=-8790.13 size=41
it=35 t=0.07 cost=-9371.96 size=42
it=36 t=0.07 cost=-9841.84 size=43
it=37 t=0.07 cost=-10126.97 size=44
it=38 t=0.07 cost=-10760.48 size=45
it=39 t=0.07 cost=-11035.20 size=46
it=40 t=0.07 cost=-11692.33 size=47
it=41 t=0.07 cost=-12223.83 size=48
it=42 t=0.07 cost=-12980.96 size=49
it=43 t=0.07 cost=-13734.24 size=50
it=44 t=0.08 cost=-14067.87 size=51
it=45 t=0.08 cost=-14978.22 size=52
it=46 t=0.08 cost=-15436.47 size=53
it=47 t=0.08 cost=-15971.39 size=54
it=48 t=0.08 cost=-16670.14 size=55
it=49 t=0.08 cost=-16922.08 size=56
it=50 t=0.08 cost=-17501.55 size=57
it=51 t=0.08 cost=-17952.09 size=58
it=52 t=0.08 cost=-18558.22 size=59
it=53 t=0.08 cost=-19000.33 size=60
it=54 t=0.08 cost=-19770.85 size=61
it=55 t=0.08 cost=-20434.64 size=62
it=56 t=0.08 cost=-21288.59 size=63
it=57 t=0.08 cost=-22118.92 size=64
it=58 t=0.08 cost=-22895.44 size=65
it=59 t=0.08 cost=-23405.18 size=66
it=60 t=0.08 cost=-23978.04 size=67
it=61 t=0.09 cost=-24487.98 size=68
it=62 t=0.09 cost=-25203.60 size=69
it=63 t=0.09 cost=-25932.83 size=70
it=64 t=0.09 cost=-26582.85 size=71
it=65 t=0.09 cost=-27613.77 size=72
it=66 t=0.09 cost=-28563.63 size=73
it=67 t=0.09 cost=-29388.89 size=74
it=68 t=0.09 cost=-30118.81 size=75
it=69 t=0.09 cost=-30968.42 size=76
it=70 t=0.09 cost=-31929.09 size=77
it=71 t=0.09 cost=-32873.63 size=78
it=72 t=0.09 cost=-33815.50 size=79
it=73 t=0.09 cost=-34619.61 size=80
it=74 t=0.09 cost=-35924.20 size=81
it=75 t=0.09 cost=-36678.68 size=82
it=76 t=0.09 cost=-37418.72 size=83
it=77 t=0.09 cost=-38376.43 size=84
it=78 t=0.09 cost=-39221.29 size=85
it=79 t=0.09 cost=-40014.21 size=86
it=80 t=0.09 cost=-41059.97 size=87
it=81 t=0.09 cost=-41756.69 size=88
it=82 t=0.09 cost=-42792.29 size=89
it=83 t=0.09 cost=-43407.41 size=90
it=84 t=0.10 cost=-44509.70 size=91
it=85 t=0.10 cost=-45704.10 size=92
it=86 t=0.10 cost=-46692.88 size=93
it=87 t=0.10 cost=-47920.37 size=94
it=88 t=0.10 cost=-48748.10 size=95
it=89 t=0.10 cost=-49803.52 size=96
it=90 t=0.10 cost=-50513.58 size=97
it=91 t=0.10 cost=-51699.31 size=98
it=92 t=0.10 cost=-53107.49 size=99
it=93 t=0.10 cost=-54155.36 size=100
