instance=instances/normal_n50.txt method=std+t2
Solution from CH:
t=0.0 Solution: cost=[-475.5], size=[5], elements=[43, 1, 6, 49, 16]
Solutions from TS:
it=1 t=0.01 cost=-549.64 size=6
it=2 t=0.02 cost=-590.12 size=7
it=3 t=0.02 cost=-595.82 size=8
it=4 t=0.03 cost=-651.54 size=9
it=5 t=0.03 cost=-654.36 size=10
it=6 t=0.03 cost=-684.86 size=11
it=7 t=0.03 cost=-801.40 size=12
it=8 t=0.03 cost=-952.35 size=13
it=9 t=0.03 cost=-955.21 size=14
it=10 t=0.03 cost=-957.63 size=15
it=11 t=0.03 cost=-967.76 size=16
it=12 t=0.03 cost=-968.82 size=17
it=13 t=0.03 cost=-996.15 size=18
it=14 t=0.03 cost=-1231.31 size=19
it=15 t=0.03 cost=-1371.63 size=20
it=16 t=0.03 cost=-1515.20 size=21
it=17 t=0.03 cost=-1519.00 size=22
it=18 t=0.03 cost=-1528.80 size=23
it=19 t=0.03 cost=-1543.37 size=24
it=20 t=0.03 cost=-1580.36 size=25
it=21 t=0.03 cost=-1583.24 size=26
it=22 t=0.03 cost=-1757.82 size=27
it=23 t=0.04 cost=-1761.80 size=28
it=24 t=0.04 cost=-1807.95 size=29
it=25 t=0.04 cost=-2160.83 size=30
it=26 t=0.04 cost=-2425.29 size=31
it=27 t=0.04 cost=-2531.51 size=32
it=28 t=0.04 cost=-2684.24 size=33
it=29 t=0.04 cost=-2688.30 size=32
it=30 t=0.04 cost=-2773.24 size=31
it=31 t=0.04 cost=-2775.27 size=32
it=32 t=0.05 cost=-2811.18 size=33
it=33 t=0.05 cost=-2845.00 size=32
it=34 t=0.05 cost=-2858.96 size=31
it=35 t=0.05 cost=-2867.74 size=32
it=46 t=0.10 cost=-2871.07 size=31
it=57 t=0.12 cost=-2871.70 size=29
it=58 t=0.12 cost=-2896.26 size=30
