instance=instances/exp_n100.txt method=std
Solution from CH:
t=0.03 Solution: cost=[-5146.920000000001], size=[24], elements=[77, 82, 66, 92, 67, 46, 47, 28, 48, 13, 4, 90, 63, 38, 27, 60, 44, 69, 40, 56, 54, 39, 62, 6]
Solutions from TS:
it=1 t=0.03 cost=-5339.62 size=25
it=2 t=0.05 cost=-5440.54 size=26
it=3 t=0.05 cost=-5631.09 size=27
it=4 t=0.05 cost=-5789.78 size=28
it=5 t=0.05 cost=-6048.80 size=29
it=6 t=0.05 cost=-6204.49 size=30
it=7 t=0.05 cost=-6543.13 size=31
it=8 t=0.05 cost=-7009.22 size=32
it=9 t=0.05 cost=-7306.06 size=33
it=10 t=0.05 cost=-7544.48 size=34
it=11 t=0.05 cost=-7778.59 size=35
it=12 t=0.06 cost=-7997.74 size=36
it=13 t=0.06 cost=-8506.77 size=37
it=14 t=0.06 cost=-8861.91 size=38
it=15 t=0.06 cost=-9321.63 size=39
it=16 t=0.06 cost=-9438.24 size=40
it=17 t=0.06 cost=-9624.01 size=41
it=18 t=0.06 cost=-10129.92 size=42
it=19 t=0.06 cost=-10277.20 size=43
it=20 t=0.06 cost=-10400.45 size=44
it=21 t=0.09 cost=-10623.68 size=45
it=22 t=0.09 cost=-11253.59 size=46
it=23 t=0.09 cost=-12050.28 size=47
it=24 t=0.09 cost=-12425.20 size=48
it=25 t=0.09 cost=-12843.37 size=49
it=26 t=0.09 cost=-13112.50 size=50
it=27 t=0.09 cost=-13806.29 size=51
it=28 t=0.09 cost=-14025.72 size=52
it=29 t=0.09 cost=-14290.83 size=53
it=30 t=0.09 cost=-14699.45 size=54
it=31 t=0.09 cost=-15083.77 size=55
it=32 t=0.09 cost=-15654.77 size=56
it=33 t=0.09 cost=-16153.79 size=57
it=34 t=0.10 cost=-16602.03 size=58
it=35 t=0.10 cost=-17008.37 size=59
it=36 t=0.10 cost=-17278.77 size=60
it=37 t=0.10 cost=-17986.39 size=61
it=38 t=0.10 cost=-18612.73 size=62
it=39 t=0.10 cost=-19245.80 size=63
it=40 t=0.10 cost=-19746.53 size=64
it=41 t=0.10 cost=-20615.60 size=65
it=42 t=0.11 cost=-21420.27 size=66
it=43 t=0.11 cost=-22095.61 size=67
it=44 t=0.11 cost=-22742.10 size=68
it=45 t=0.11 cost=-23429.71 size=69
it=46 t=0.11 cost=-24378.48 size=70
it=47 t=0.11 cost=-24950.20 size=71
it=48 t=0.11 cost=-25623.66 size=72
it=49 t=0.11 cost=-26000.86 size=73
it=50 t=0.11 cost=-26642.54 size=74
it=51 t=0.11 cost=-27266.04 size=75
it=52 t=0.11 cost=-28122.02 size=76
it=53 t=0.11 cost=-29101.19 size=77
it=54 t=0.11 cost=-29481.65 size=78
it=55 t=0.11 cost=-30421.03 size=79
it=56 t=0.11 cost=-31194.33 size=80
it=57 t=0.11 cost=-31964.71 size=81
it=58 t=0.11 cost=-32452.12 size=82
it=59 t=0.11 cost=-33201.25 size=83
it=60 t=0.11 cost=-34457.48 size=84
it=61 t=0.12 cost=-35280.08 size=85
it=62 t=0.12 cost=-35986.92 size=86
it=63 t=0.12 cost=-36992.15 size=87
it=64 t=0.12 cost=-38136.29 size=88
it=65 t=0.12 cost=-39178.73 size=89
it=66 t=0.12 cost=-40088.84 size=90
it=67 t=0.12 cost=-40744.02 size=91
it=68 t=0.12 cost=-41975.24 size=92
it=69 t=0.12 cost=-42918.55 size=93
it=70 t=0.12 cost=-44015.02 size=94
it=71 t=0.12 cost=-44995.49 size=95
it=72 t=0.12 cost=-45586.37 size=96
it=73 t=0.12 cost=-46357.70 size=97
it=74 t=0.12 cost=-47533.45 size=98
it=75 t=0.12 cost=-48633.84 size=99
it=76 t=0.12 cost=-49715.02 size=100
